argument;antwort
Cows need to be milked;Cows only produce milk when they've been pregnant and have a calf. In nature, they would nurse their own calves, not humans. To continue to produce milk, the cows are impregnated, and their calves taken away.
Plants have feelings too;Plants don't have a nervous system and therefore cannot feel pain like animals do. Even if they would show reactions, far more plants are needed to feed farm animals than for direct human consumption.
Eating meat and animal products is my personal choice;Each choice is a personal choice. Still each choice can have consequences for your surroundings. Labeling a choice as personal doesn't make these consequences disappear.
Vegans eat so much soy and tofu, which kills the Amazon rainforest;Around 80% of the soy from the Amazon area is used to feed farm animals. Most of the rest for cooking oil. Most of the soy for human consumption is produced locally.
Eatings Eggs is OK, the hens dont suffer;Eating eggs contributes to cruelty because male chicks are killed at birth and hens suffer harsh conditions and early slaughter, regardless of farming methods, since most eggs come from profit-driven factory farms.
If everyone would go vegan there would not be enough food;On the contrary, because farm animals need so much to eat to produce. 80% of the farmable land is currently used to produce animal products, contributing to only 20% of the calories we consume.
We are on the top of the food chain, humans are the APEX predator;"Calling humans apex predators to justify eating animals is flawed, because the terms ""food chain"" and ""circle of life"" don't actually apply to human food systems, and humans don't need to eat animals to survive, so the ""might makes right"" argument isn't ethically valid."
veganism is just another woke trend. It will pass;Veganism is more than a trend - it's a conscious lifestyle choice rooted in ethics, environmental concerns, and health, and its growing popularity reflects increasing awareness of these issues.
Crops ans harvests for vegans kill animals too;It's true that some animals are unintentionally killed during crop harvesting, but eating animal products causes far more animal deaths overall because much more land and crops are used to feed farm animals than to directly feed humans
animals are not intelligent enough, and they dont feel pain like we do;Animals clearly show care, affection and love and try to avoid pain. Animals can suffer, and are aware that they suffer. This is scientifically proven.
Eating animals does not cause diseases.;The animal agriculture industry is a significant breeding ground for new viruses due to the high density of animals confined in close quarters, often under unhygienic conditions. These factors, combined with the widespread and heavy use of antibiotics in many countries to promote growth and prevent disease, create ideal circumstances for the emergence and transmission of infectious agents. This environment facilitates virus spread among animals and increases the risk of zoonotic transmission to humans, while antibiotic overuse drives antibiotic resistance, compounding public health risks.
Animals eat animals too, so why should we not. Lions eat animals too.;"Many animals do things humans wouldn't consider acceptable, like lions killing rival babies. If we really want to compare, our closest relatives, bonobos, mostly eat fruit and live peacefully. Humans have the ability to choose ethics over natural behavior, so ""animals eat animals"" isn't a good excuse for us to do the same."
Going vegan is too hard;In by far most countries, people buy food from markets and supermarkets. It is not hard to get complete vegan food there, and also not more expensive.
If I go vegan I will become an outsider. It is socially difficult. What will friends and family say.;"Choosing veganism is a decision that reflects your values. While it might feel difficult at first, many people find supportive communities and new friendships through veganism. Also, standing by your beliefs often brings respect, even from those who don't share your choices. Becoming an ""outsider"" can instead be an opportunity to connect with like-minded people and inspire positive change. Being authentic to yourself is more important than conforming to social expectations."
I love aninals too, we just sometimes need to kill them for food;"Great that you love animals. It's actually common to love animals yet ignore the suffering in the meat, egg, and dairy industries - psychologists call this cognitive dissonance and moral disengagement. The industry fuels it with marketing showing happy farm animals, even cartoons of them ""willingly"" giving milk, eggs, or meat."
